"BILL OF MATERIAL WITH BETA STOCK, GROUPED BY VALUES, AS OF 09.10.2015",,,,,,,,,,,,,,,,,,
Part,Value,Device,Package,Description,Description2,Qty,Place_YES/NO,Povided_by_customer_YES/NO,Distributor,Ordernumber,Weblink,Remarks_customer,Unit_price,Total_price,REMARKS_BETA,OPTION1,OPTION2,OPTION3
"C1, C2, C3, C6, C7, C8, C23, C27, C30, C31, C38, C45, C46, C48, C51",0.1u,C_SMD0402,CAPC1005X55, , ,15,YES,NO,Beta,7235228,http://de.rs-online.com/web/p/ceramic-multilayer-capacitors/7235228P/?searchTerm=7235228p&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B362C377D5B4161426250705D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D373233353232387026, , , , , , , 
"C4, C5, C9, C24, C25, C29, C33, C34, C47, C49",1n,C_SMD0402,CAPC1005X55, , ,10,YES,NO,Beta,147566,http://de.rs-online.com/web/p/keramik-multilayer-kondensatoren/0147566/?searchTerm=147566&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B367D247C5E5C647B377D247C5E5C647B31307D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D31343735363626, , , , , , , 
C10,2.2n,C_SMD0402,CAPC1005X55, , ,1,YES,NO,Digi-Key,399-3068-1-ND,https://www.digikey.com/products/en?keywords=399-3068-1-ND, , , , , , , 
"C11, C12, C13, C18, C21",10u,C_SMD0805,CAPC2012X145, , ,5,YES,NO,Beta,6911161P,http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6911161P&x=0&y=0, , , , , , , 
"C14, C15, C16, C19, C20, C22, C26, C28, C32, C35",1u,C_SMD0603,CAPC1608X95, , ,10,YES,NO,Beta,6911142,http://de.rs-online.com/web/p/keramik-multilayer-kondensatoren/6911142/?searchTerm=6911142&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B367D247C5E5C647B377D247C5E5C647B31307D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D3639313131343226, , , , , , , 
C17,22u,C_SMD1210,CAPC3225X280, , ,1,YES,NO,Digi-Key,399-7451-1-ND,https://www.digikey.com/products/en?keywords=399-7451-1-ND, , , , , , , 
"C36, C39, C40",2.2u,C_SMD0805,CAPC2012X145, , ,3,YES,NO,Digi-Key,1276-2956-1-ND,https://www.digikey.com/products/en?keywords=1276-2956-1-ND, , , , , , , 
C37,0.47u,C_SMD0603,CAPC1608X95, , ,1,YES,NO,Digi-Key,399-7934-1-ND,https://www.digikey.com/products/en?keywords=399-7934-1-ND, , , , , , , 
"C41, C43, C44",4.7u,C_SMD0805,CAPC2012X145, , ,3,YES,NO,Beta,6911186P,http://uk.rs-online.com/web/search/searchBrowseAction.html?method=searchProducts&searchTerm=6911186P&x=0&y=0, , , , , , , 
"C42, C50",10n,C_SMD0402,CAPC1005X55, , ,2,YES,NO,Beta,147049,http://de.rs-online.com/web/p/keramik-multilayer-kondensatoren/0147049/?searchTerm=147049&relevancy-data=636F3D3126696E3D4931384E525353746F636B4E756D6265724D504E266C753D656E266D6D3D6D61746368616C6C26706D3D5E5C647B367D247C5E5C647B377D247C5E5C647B31307D2426706F3D313426736E3D592673743D52535F53544F434B5F4E554D4245522677633D4E4F4E45267573743D31343730343926, , , , , , , 
"D1, D2",BAT43WS-HE3SOD-323,BAT43WS-HE3SOD-323,SOD2513X110, , ,2,YES,NO,Digi-Key,BAT43WS-HE3-08GICT-ND,https://www.digikey.com/products/en?keywords=BAT43WS-HE3-08GICT-ND, , , , , , , 
D3,BZX384B5V1,BZX384B5V1,SOD2513X110, , ,1,YES,NO,Digi-Key,BZX384C5V1-HE3-08GICT-ND,https://www.digikey.com/products/en?keywords=BZX384C5V1-HE3-08GICT-ND, , , , , , , 
"D4, D5, D6, D7",ACDBQC0130L-HF0402,ACDBQC0130L-HF0402,DIOC0905X50N, , ,4,YES,NO,Digi-Key,641-2041-1-ND,https://www.digikey.com/products/en?keywords=641-2041-1-ND, , , , , , , 
"IC1, IC3",AD8422BRMZ,AD8422BRMZ,RM_8-L, , ,2,YES,NO,Digi-Key,AD8422ARMZ-ND,https://www.digikey.com/products/en?keywords=AD8422ARMZ-ND, , , , , , , 
"IC2, IC4, IC6",OPA2388DGK8_L,OPA2388DGK8_L,DGK8-L, , ,3,YES,NO,Digi-Key,296-50277-1-ND,https://www.digikey.com/products/en?keywords=296-50277-1-ND, , , , , , , 
IC5,ADS8694TSSOP38,ADS8694TSSOP38,TSSOP38, , ,1,YES,NO,Digi-Key,296-42531-5-ND,https://www.digikey.com/products/en?keywords=296-42531-5-ND, , , , , , , 
IC7,DAC6571IDBVR,DAC6571IDBVR,DAC6571IDBVR, , ,1,YES,NO,Digi-Key,296-48525-1-ND,https://www.digikey.com/products/en?keywords=296-48525-1-ND, , , , , , , 
IC8,TPS73101DBVR,TPS73101DBVR,SOT95P280X145-5N,"Cap-Free, NMOS, 400mA Low-Dropout Regulator with Reverse Current Protection", ,1,YES,NO,Digi-Key,296-27058-1-ND,https://www.digikey.com/products/en?keywords=296-27058-1-ND, , , , , , , 
"IC9, IC15",LMP7701MF,LMP7701MF,DBV5-L, , ,2,YES,NO,Digi-Key,LMP7701MF/NOPBCT-ND,https://www.digikey.com/products/en?keywords=LMP7701MF/NOPBCT-ND, , , , , , , 
IC10,DAC8562_DGS_10,DAC8562_DGS_10,DGS10, , ,1,YES,NO,Digi-Key,296-43693-1-ND,https://www.digikey.com/products/en?keywords=296-43693-1-ND, , , , , , , 
IC11,CAT24C256WI-GT3,CAT24C256WI-GT3,SO08, , ,1,YES,NO,Digi-Key,CAT24C256WI-GT3OSCT-ND,https://www.digikey.com/products/en?keywords=CAT24C256WI-GT3OSCT-ND, , , , , , , 
IC12,LM27762DSSR,LM27762DSSR,VREG_LM27762DSSR,Low-Noise Positive- and Negative-Output Charge Pump With Integrated LDO 12-WSON -40 to 85, ,1,YES,NO,Digi-Key,296-44944-1-ND,https://www.digikey.com/products/en?keywords=296-44944-1-ND, , , , , , , 
IC13,BQ25504_RGT_16,BQ25504_RGT_16,RGT16_1P7X1P7, , ,1,YES,NO,Digi-Key,296-29741-1-ND,https://www.digikey.com/products/en?keywords=296-29741-1-ND, , , , , , , 
IC14,SN74LV4T125PWR,SN74LV4T125PWR,PW0014A_N, , ,1,YES,NO,Digi-Key,296-40545-1-ND,https://www.digikey.com/products/en?keywords=296-40545-1-ND, , , , , , , 
IC16,TXB0304RUTR,TXB0304RUTR,RUT0012A, , ,1,YES,NO,Digi-Key,296-29682-1-ND,https://www.digikey.com/products/en?keywords=296-29682-1-ND, , , , , , , 
"JP1, JP2", ,PINHD-1X2,1X02,PIN HEADER, ,2,YES,NO,Digi-Key,732-5315-ND,https://www.digikey.com/products/en?keywords=732-5315-ND, , , , , , , 
K1,G3VM-31HR22SOP,G3VM-31HR22SOP,SOP06,PhotoMOS Relay NAiS, ,1,YES,NO,Digi-Key,Z8598-ND,https://www.digikey.com/products/en?keywords=Z8598-ND, , , , , , , 
L1,22u,L-EUL3225P,L3225P,"INDUCTOR, European symbol", ,1,YES,NO,Digi-Key,732-7315-1-ND,https://www.digikey.com/products/en?keywords=732-7315-1-ND, , , , , , , 
"LED1, LED2, LED3, LED4",598-8130-107FLED_0805,598-8130-107FLED_0805,LEDC2012X75, , ,4,YES,NO,Digi-Key,350-2040-1-ND,https://www.digikey.com/products/en?keywords=350-2040-1-ND, , , , , , , 
P1, ,FE02-2,FE02-2,FEMALE HEADER, ,1,YES,NO,Digi-Key,SAM1212-02-ND,https://www.digikey.com/products/en?keywords=SAM1212-02-ND, , , , , , , 
P2, ,FE08-2,FE08-2,FEMALE HEADER, ,1,YES,NO,Digi-Key,SAM1212-08-ND,https://www.digikey.com/products/en?keywords=SAM1212-08-ND, , , , , , , 
"P3, P4", ,FE04-1,FE04-1,FEMALE HEADER, ,2,YES,NO,Digi-Key,SAM1213-04-ND,https://www.digikey.com/products/en?keywords=SAM1213-04-ND, , , , , , , 
"P8, P9", ,FE23-2,FE23-2,FEMALE HEADER, ,2,YES,NO,Digi-Key,SAM1204-23-ND ,https://www.digikey.com/products/en?keywords=SAM1204-23-ND, , , , , , , 
"R1, R12, R15",402,R_SMD0603,RESC1608X55, , ,3,YES,NO,Digi-Key,P19926CT-ND,https://www.digikey.com/products/en?keywords=P19926CT-ND, , , , , , , 
"R2, R11",2,R_SMD0603,RESC1608X55, , ,2,YES,NO,Digi-Key,A102258CT-ND,https://www.digikey.com/products/en?keywords=A102258CT-ND, , , , , , , 
